{'text': '对，输给一个女人，的成绩。失望', 'entities': '人物：说话者（未知）\n地名：无\n机构：无\n位置：未知'}
{'text': '十二星座喝高了后白羊奔向目标猎物借酒调情、金牛胡乱高歌、双子发酒疯乱咬人、巨蟹边哭边骂、狮子变成大八婆、处女躲进厕所人间蒸发、天秤话多露本性、天蝎吐真言、射手唠叨争吵没完没了、魔羯借酒壮胆划拳助兴、水瓶不付帐走人、双鱼倒头大睡', 'entities': '人物：十二星座中的各个星座\n地名：无\n机构：无\n位置：无'}
{'text': '听电影新片榜衣帽间定制姑娘们住么？', 'entities': '人物：姑娘们\n地名：衣帽间\n机构：电影新片榜\n位置：不确定，可能是在电影院或者是在某个定制衣帽间。'}
{'text': '超级笑星当你能转的时候就不要放弃转，活动太过短暂，今天放弃了明天就不一定能参加小编我说得对的话就奖励我吧地址：', 'entities': '人物：超级笑星\n地名：无\n机构：无\n位置：无'}
{'text': '米泉今天月日天气：雾转晴，℃℃，微风≤级，空气质量：一般分享自微心情', 'entities': '人物：无\n\n地名：米泉\n\n机构：无\n\n位置：未知'}
{'text': '明天台风神马的过境应该很刺激吧长这么大要见到台风了，好紧张好怕怕耶王王可暨南学生报广州会停课吗许愿华工记者团摄影部奥特曼五山的孩子们，准备好迎接暴风雨了吗？华农微新闻华师头条暨南学生报华工微博协会华工资讯', 'entities': '人物：无\n地名：广州、五山\n机构：暨南学生报、许愿华工记者团摄影部、华农微新闻、华师头条、暨南学生报、华工微博协会、华工资讯\n位置：无'}
{'text': '陈阿土过岗扎三瓶，大夫不留情。', 'entities': '人物：陈阿土、大夫\n地名：岗扎三瓶\n机构：无\n位置：未知'}
{'text': '哇我和韩佳人的穿衣风格相似度竟然是重庆校园跳蚤市场德国迷你宝贝亲子育儿小帖士你们感受一下', 'entities': '人物：我、韩佳人\n地名：重庆、德国\n机构：校园跳蚤市场、迷你宝贝亲子育儿小帖士\n位置：未明确指定'}
{'text': '我叫赵新民经典爱情日记每天分享懒人私房菜，轻松学习做饭技巧，尝遍各种美食', 'entities': '人物：赵新民\n地名：无\n机构：无\n位置：无'}
{'text': '有梦才有未来王晶老师：年轻的生命总是那样执着的光彩绽放湘潭大学生联盟校傲江湖网刘掌门', 'entities': '人物：王晶老师，刘掌门\n地名：湘潭大学\n机构：湘潭大学生联盟，校傲江湖网'}
{'text': '庙里面住的还舒服吧，祝早日荣升方丈大湿。', 'entities': '人物：祝\n地名：庙\n机构：方丈\n位置：庙里面'}
{'text': '新浪微博客户端全新升级信息流图片加载速度提升；发布器支持多张图片一键分享；新增、浪小花表情。观看视频，了解更多下载地址：', 'entities': '人物：无\n地名：无\n机构：新浪微博\n位置：微博客户端'}
{'text': '雯子小菇凉长肉的猪猪咸蛋超人笑一笑苦逼青年杨素晗梦中星语改个掉名字累的一笔是不是想到我了呢', 'entities': '人物：雯子、小菇凉、猪猪、咸蛋超人、苦逼青年杨素晗、梦中星语\n地名：无\n机构：无\n位置：无'}
{'text': '韩流台韩国行李敏镐欧巴，这是你追漂亮的惯用伎俩吗？嘻嘻', 'entities': '人物：李敏镐欧巴\n地名：韩国\n机构：韩流台\n位置：不确定，可能是韩流台所在的位置。'}
{'text': '全部都好开心哈哈哈小玲心你地全部都要开开心心希望姐姐每日都开开心心贼迷张治成舒华姐姐清老头子', 'entities': '人物：小玲，张治成，舒华姐姐，清老头子\n地名：无\n机构：无\n位置：无'}
{'text': '半睡半醒的过了三小时后，我决定不做无谓的抵抗了，反正睡意不来，我就算闭着眼再多几个小时，还这样。。对于春节，有过好多想法，比如去一直想去没去的城市，比如到他家给他个惊喜，比如就呆在出租屋里买一大堆吃的闭门半个月，，结果还是决定回家，虽然我都不知道我住哪，但我会回去，若不回，更可怜', 'entities': '人物：我、他；地名：出租屋；机构：无；位置：不确定（因为作者并不知道自己住在哪里）。'}
{'text': '阳光又想起当年那个学姐告诉我们的一句话生活其实很可爱，你要做的就是好好去爱它。', 'entities': '人物：学姐\n地名：无\n机构：无\n位置：无'}
{'text': '懒美人日记轻松熊小煎饼，学习啦', 'entities': '人物：懒美人、轻松熊\n地名：无\n机构：学习啦\n位置：无'}
{'text': '和大小姐跳舞那位是新男主么？思考挖鼻屎', 'entities': '人物：大小姐，新男主\n地名：无\n机构：无\n位置：无'}
{'text': '三姓不是家奴任志强赵晓此时无声胜有声', 'entities': '人物：任志强、赵晓\n地名：无\n机构：无\n位置：无法确定'}
{'text': '下次要早点休息哦～维尼～晚安', 'entities': '人物：维尼\n地名：无\n机构：无\n位置：无'}
{'text': '撞色衣领内里设计，让你的青春更飞扬，独特的字立领设计，更显男人硬朗气质。', 'entities': '人物：无\n地名：无\n机构：无\n位置：无'}
{'text': '我叫赵新民哈哈哈啊哈哈哈笑话伤不起吃惊', 'entities': '人物：赵新民\n地名：无\n机构：无\n位置：无'}
{'text': '未必是好东西。谁知道在那里有几个是真正的台湾商户和台湾美食。赵子龙足球京剧与伟州相声不出我所料，好东西到中国就完蛋简单幸福的滕桓八爷乱弹七世', 'entities': '人物：赵子龙、滕桓八爷\n地名：台湾、中国\n机构：无\n位置：未知'}
{'text': '琴是你吗我们爱讲冷笑话都说上海男人是好男人，我信了', 'entities': '人物：你、上海男人\n地名：上海\n机构：无\n位置：无'}
{'text': '支持同同刘同，我发现我就缺少这样的精神泪泪', 'entities': '人物：我、刘同\n地名：无\n机构：无\n位置：无'}
{'text': '干蛋的没有杂工了，我们自己就得当杂工了泪泪', 'entities': '人物：干蛋的\n地名：无\n机构：无\n位置：无法确定'}
{'text': '笑哈哈大力支持来了，希望好运，希望我能够等到博主的青睐，能够得到这份礼物，我会感恩滴。给力地址：', 'entities': '人物：博主\n地名：无\n机构：无\n位置：无'}
{'text': '排解心灵寂寞的方法、找点事做当你全神贯注于自己最喜爱的事情时，就不会再叹惜寂寞无奈；、找个朋友将你的喜恶，感情与他们分享；、回归自然走进大自然，驱走所有闷气；、工作适量；、血脉相投父母双亲、兄弟姐妹是你最好的倾诉对象；、助人为乐；、活力之泉运动。', 'entities': '人物：无特定人物；地名：无特定地名；机构：无特定机构；位置：无特定位置。'}
{'text': '天气不美丽，只能在宿舍待着了，郁闷～我在', 'entities': '人物：我\n地名：宿舍\n位置：不确定\n机构：无'}
{'text': '慕仪九：一本书一句话一段情节操碎一地的辩论赛啊哈哈', 'entities': '人物：慕仪九\n地名：无\n机构：无\n位置：无'}
{'text': '其实我真的很想说，哪个是？？？丫头哒哒夢想家林志穎歲的', 'entities': '人物：林志穎\n地名：无\n机构：无\n位置：无'}
{'text': '燥热脾气不好吃什么？曾经有过一项有趣的实验，在不良少年的食物里面增加钙质，可以减少他们的攻击性和破坏性，因此可见钙具有安定情绪的作用，缓和燥热脾气不好均有效果。', 'entities': '人物：不良少年\n地名：无\n机构：无\n位置：无'}
{'text': '她因三年前被人强暴变得沉默忧郁害怕与人交流。这时他出现在她身边，他幽默风趣逗她开心，让她走出阴霾变回以前的开朗。他向她求婚她欣然答应。在新婚之夜他看着自己美丽的新娘，他抱她在怀亲吻她每寸肌肤，她觉得自己是最幸福的女人，他贴在她耳边轻声耳语：三年过去了，你还是这么完美。', 'entities': '人物：她、他\n地名：无\n机构：无\n位置：无'}
{'text': '靠。我特妈惊呆了。一瓶掉了斤。刚发来的反馈。我心脏有点承受不了了。妹子买果汁的时候特地去超市买了电子称说要及时给我反馈。我还骂她多此一举。没想到效果这么惊人。信琦哥得苗条吧。加', 'entities': '人物：我、妹子、信琦哥\n地名：超市\n机构：无\n位置：无'}
{'text': '雪瑞儿君笑哈哈余哈哈哈，最近被窝君对我纠缠不清让我难舍难分', 'entities': '人物：雪瑞儿君、被窝君\n地名：无\n机构：无\n位置：被窝'}
{'text': '已进入休克状态泪泪泪泪泪泪粉红色蝴蝶节嘉欣就系嘉欣', 'entities': '人物：嘉欣\n地名：无\n机构：无\n位置：未知，只知道嘉欣已进入休克状态。'}
{'text': '突然看了以前中学贴吧，看了些帖子，好怀念啊啊晚安明天睡醒的时候能回到上中学的某个早晨，走进班级发现自己喜欢的女生还在。', 'entities': '人物：没有明确指定\n地名：没有明确指定\n机构：中学贴吧\n位置：班级'}
{'text': '今天晚上又添置了几个新的家具，猜猜看哪几种？丫头哒哒亲爱的，我中于找到妙处了这几个家具只用了一个小时不到夏至不再来哈哈哈哈，姐妹我聪明吧鼓掌鼓掌', 'entities': '人物：丫头哒哒亲爱的，姐妹\n地名：无\n机构：无\n位置：家里（暗示）'}
{'text': '陈芭芭她爹爹其可夫李毅吧滚出贴吧不发表意见，大家看看其可夫，帮忙转一下，很客观', 'entities': '人物：陈芭芭、她爹爹、李毅\n地名：贴吧\n机构：无\n位置：未提及'}
{'text': '喜欢中国好声音里张赫宣以及卓义峰演唱的无言，很偏爱这种声音沙哑的演绎。。。原来它的英文版是，怪不得觉得如此耳熟。', 'entities': '人物：张赫宣、卓义峰\n地名：中国\n机构：中国好声音\n位置：不确定'}
{'text': '午盘播报新黄浦最新价：，，资金流向净流量：万元；开盘：，，最高：，最低：，成交：手万元，换手率：', 'entities': '人物：无\n地名：黄浦\n机构：无\n位置：无'}
{'text': '受不了了好嘛？这个圈子的男生娘炮透了好嘛？我真的要疯了好嘛？我超级郁闷的好嘛？你们这样的男生这里稀缺好嘛？救救我好嘛？蔡老蛋露露爱跳舞晰拼命的王王王先生王小贱王毛毛', 'entities': '人物：我，男生，蔡老蛋，露露，王王王先生，王小贱，王毛毛\n地名：无\n机构：无\n位置：无'}
{'text': '弱女孩送孕妇被杀续：孕妇每天被围观遭医生辱骂分享自今日头条', 'entities': '人物：弱女孩、孕妇、医生\n地名：无\n机构：无\n位置：无法确定'}
{'text': '霄贤不屑与你装苦逼青年杨素晗', 'entities': '人物：霄贤、杨素晗\n地名：无\n机构：无\n位置：无'}
{'text': '打算去店里找舟哥，刚坐上车就有些后悔了，还是难受，车里不透气，恶心，想吐。抓狂生病吐', 'entities': '人物：舟哥\n地名：店里\n机构：无\n位置：车里'}
{'text': '土豪朋友去海南还不忘记捎上点特产寄给兄弟我��，何德何能非常感谢，兄弟我会好好享用的～哈哈哈', 'entities': '人物：土豪朋友，兄弟我\n地名：海南\n机构：无\n位置：无'}
{'text': '给女孩的一段话爱自己，爱森活森活小物', 'entities': '人物：女孩\n地名：无\n机构：无\n位置：无'}
{'text': '号，因为是我妹生日。哼好吧，我承认比赛只许到', 'entities': '句子中没有明确的人物、地名、机构和位置。'}
{'text': '新浪微博客户端全新升级信息流图片加载速度提升；发布器支持多张图片一键分享；新增、浪小花表情。观看视频，了解更多下载地址：', 'entities': '人物：无\n地名：无\n机构：新浪微博客户端\n位置：无'}
{'text': '感谢兔兔，感谢圆圆，感谢佳佳。感谢我们的相遇，有一张照片不能放上来，我会把它锁进属于我们回忆的相册里。这次缺了小右，期待下次五人帮的大团聚。❤️', 'entities': '人物：兔兔、圆圆、佳佳、小右\n地名：无\n机构：无\n位置：无'}
{'text': '美得不得了功夫胖胖小阿布这儿有鼓风亲眼见证三，这么多细节呢，真是去晚了，和前两次不同的喜欢，八角号流程卡，我会留好功夫胖胖小阿布月婚礼滴大片紫玉山庄梦幻水岸忙碌了两个月，一切都好完美好值得这儿有鼓风张拓赵赵的花圃移动美术馆', 'entities': '人物：功夫胖胖小阿布、张拓赵赵\n地名：紫玉山庄、梦幻水岸、花圃\n机构：八角号流程卡、移动美术馆\n位置：这儿、鼓风'}
{'text': '两个男人追一个女人，用情浅的那个先放弃两个女人追一个男人，用情深的那个先放弃。', 'entities': '人物：两个男人、一个女人、一个男人\n地名：无\n机构：无\n位置：无'}
{'text': '我叫赵新民这是个°的坡吗？？？？？？时尚奇趣馆转发微博', 'entities': '人物：赵新民\n地名：坡\n机构：时尚奇趣馆\n位置：未知'}
{'text': '三俩好友，有几个珍惜的人，平时绊绊嘴，最后还在一起疯闹，这就是我要的生活但是很怕陪我到最后的不是你们', 'entities': '人物：三俩好友\n地名：无\n机构：无\n位置：无'}
{'text': '＂基于兴趣上的创造不能被忽略＂，孩子的勇气令大人们汗颜洪晃转发微博', 'entities': '人物：孩子、大人们\n地名：无\n机构：无\n位置：无'}
{'text': '我叫赵新民我要把你的头像设置成这个哈哈哈哈', 'entities': '人物：赵新民\n地名：无\n机构：无\n位置：无'}
{'text': '天哪，点之前，我马上就睡实用心理学天啊，整过容的女人老了脸会塌成那样的太可怕了衰童鞋们顺便预测下，韩国整容会塌么。。。', 'entities': '人物：无\n地名：无\n机构：无\n位置：无'}
{'text': '对，输给一个女人，的成绩。失望', 'entities': '人物：说话者（未知）\n地名：未知\n机构：未知\n位置：未知'}
{'text': '《陆毅曹芙嘉《蒲公英》》2013年侨联春晚http://t.cn/zYimvPe（分享自@土豆网音乐）@mark', 'entities': '人物：陆毅、曹芙嘉\n地名：无\n机构：侨联春晚、土豆网音乐\n位置：无'}
{'text': '百变人气偶像孙坚首张EP《公主驾到》第二波深情主打《你若安好便是晴天》正式发布。这首歌曲与孙坚的第一首主打《公主驾到》清新朗朗上口的曲风大为不同。他可以是在酷暑里给你清凉的冰淇淋男孩，也可以是在深夜寂静的夜里用歌声带给你里给你慰藉的王子。http://t.cn/zQGWYML', 'entities': '人物：孙坚\n地名：无\n机构：无\n位置：无'}
{'text': '#寻找金秀贤#好运降临啊.~~!!!地址：http://t.cn/8snnlE3', 'entities': '人物：金秀贤\n地名：无\n机构：无\n位置：无'}
{'text': '新浪微博客户端升级了信息流图片加载速度提升；发布器支持多张图片一键分享；新增、浪小花表情。观看视频，了解更多我在全新微博客户端，我为雅安祈福。下载地址：', 'entities': '人物：无\n地名：雅安\n机构：新浪微博\n位置：全新微博客户端'}
{'text': '乌克兰当地小镇的爱之隧道，一到春天两旁的树木一片葱绿，架起了一座绿色的“拱桥”', 'entities': '人物：无\n地名：乌克兰当地小镇\n机构：无\n位置：爱之隧道，两旁的树木'}
{'text': '//@MZ北京后援会:#爸爸去哪儿##模特张亮#这就是爱[心]', 'entities': '人物：模特张亮\n地名：北京\n机构：MZ北京后援会\n位置：未确定'}
{'text': '最好的朋友之间，除非他穷的吃不了饭了，否则最好不要有经济往来。许多可贵的友谊都败坏在钱上。', 'entities': '人物：朋友\n地名：无\n机构：无\n位置：无'}
{'text': '在家看着电视家里突然来了个电话。说家里的长辈在韩国去世了。心情很不好。算辈分应该是我爷爷。爷爷祝您一路走好。悲伤悲伤悲伤还有姥姥也在韩国这次一定要想办法把姥姥从韩国接回来。我在', 'entities': '句子中的人物：我、长辈、爷爷、姥姥；地名：韩国；机构：无；位置：家里。'}
{'text': '有木有觉得在微博上不敢吐槽工作，不能宣泄情感，就连关心朋友都力不从心，本以为通过微博连接了世界，没想到却与最亲密的人愈发疏远如果你真的关心我，就加我为密友。我正在使用由新浪微博官方推出的密友手机客户端，赶快来一起玩吧', 'entities': '人物：无\n地名：无\n机构：新浪微博官方\n位置：手机客户端'}
{'text': '我也好想来分析一下：看微博是更新的，解解是转发的，所以说按照正常的流程，二哥应该先是看的，但是截图显示是先看解解转发周觅渊博但二哥木有关注周觅啊的那条，这说明什么？挖鼻屎挖鼻屎挖鼻屎你们看懂了么宋茜汗汗汗', 'entities': '人物：二哥、解解、周觅、宋茜\n地名：无\n机构：无\n位置：无'}
{'text': '额滴神呐......明天要把这些从深圳搬回杭州，累死我吧[泪]', 'entities': '人物：句子中没有明确提到人物。\n地名：深圳、杭州。\n机构：句子中没有明确提到机构。\n位置：句子中没有明确提到位置，但可以推测是在深圳。'}
{'text': '秀幸福啊。。。羡慕//@向前进军:壮壮很幸福啊！//@机缘际会:壮壮被养胖了。', 'entities': '人物：向前进军、机缘际会、壮壮\n地名：无\n机构：无\n位置：无'}
{'text': '还有8件事。北京，就快暂时说再见了。', 'entities': '人物：无\n地名：北京\n机构：无\n位置：北京'}
{'text': '#搜房会员独享优惠#感谢岁月让一只友谊的船，让我们找到了落帆的愿望，感谢小编微博的活动，让我找到了互动交友的家园；[给力]地址：http://t.cn/8kUaqGk', 'entities': '人物：小编\n地名：无\n机构：搜房会员\n位置：http://t.cn/8kUaqGk'}
{'text': '#京东厨卫节#买烟机灶具绝对的选择老板电器(来自http://t.cn/8FdFy2D)', 'entities': '人物：无\n地名：无\n机构：京东、老板电器\n位置：无'}
{'text': '杀了我杀了我。。。都躲郊区来了你们还追来。。。。。泪泪泪泪我在鑫江希尔顿逸林酒店', 'entities': '人物：未明确\n地名：郊区、鑫江希尔顿逸林酒店\n机构：未明确\n位置：鑫江希尔顿逸林酒店'}
{'text': '哪个男生，我骑车去把他腿撞断', 'entities': '人物：哪个男生\n地名：无\n机构：无\n位置：无'}
{'text': '马//@阿茵菌:@热带以霖//@椰子yuria:啊啊啊啊//@JoJo武夫:强马！', 'entities': '人物：阿茵菌、椰子yuria、JoJo武夫\n地名：无\n机构：无\n位置：无'}
{'text': '@于蕊茜这个应该也不远吧，嘿嘿', 'entities': '人物：于蕊茜\n位置：未知（因为句子中没有具体的位置信息）\n机构：无\n地名：无'}
{'text': '这次考试最大的意外是碰到了以前学校教我们的老师，他先认出我的，15年没见过了，好开心。记得他是大学毕业到我们学校任课的，很帅，有才气，在学校的活动中，弹吉他唱，北方的狼，迷倒一大片女生，只是一年后，他读研离开了。如今他的依然有成熟男人的风采。我在:http://t.cn/zRVMLI0', 'entities': '人物：老师\n地名：学校\n机构：我们学校\n位置：在学校的活动中'}
{'text': '哈哈哈哈哈哈镰刀刮腋毛哈哈哈哈哈哈我的朋友是个呆哈哈哈哈哈哈哈哈哈哈哈哈哈十万个冷笑话官网你这个不孝子哈哈哈哈哈萬萬哈哈哈哈哈哈哈杰克波比哈哈哈哈哈狼心狗肺猪肾哈哈哈哈哈哈哈胡唠哈哈哈哈哈哈哈哈哈柯震倲哈哈哈哈哈哈哈', 'entities': '人物：我的朋友、杰克波比、柯震倲\n地名：无\n机构：十万个冷笑话官网\n位置：无'}
{'text': '看见前女友和她的新欢走在一起的时候，已经无处可躲了，只好硬着头皮上去打招呼哎呀，好久不见，你儿子都这么高了。இɷஇ', 'entities': '人物：前女友、她的新欢、你、你的儿子。\n地名：无。\n机构：无。\n位置：无法确定，可能是在公共场合或者某个特定的地点。'}
{'text': '累死了。。。睡觉我在青岛鑫江希尔顿逸林酒店', 'entities': '人物：未提及\n地名：青岛\n机构：鑫江希尔顿逸林酒店'}
{'text': '#2013厦门购物节#祝小编天天开心，也祝贵博粉丝多到爆，越来越红火，感谢小编不断将惊喜带给大家，虔诚许愿，期待一份美好，希望微博人气越来越高！地址：http://t.cn/zQ9Wc73', 'entities': '人物：祝小编、贵博粉丝\n地名：厦门\n机构：无\n位置：http://t.cn/zQ9Wc73'}
{'text': '#落跑甜心单寒飞##陈翔##问妈妈好吗#一直觉得，陈翔活得像一幅写意山水画，从第一次在舞台上看到花瓣洒落，他静默独立的站在舞台上开始。颇为夸张的撞色在他身上定格的时候，小衫上身，往泼#自定义话题#墨布前一坐有戏了，写意人生。', 'entities': '人物：单寒飞、陈翔\n地名：无\n机构：无\n位置：舞台上'}
{'text': '媒体揭秘360产品黑匣子：工蜂般盗取个人隐私信息！朋友们注意删除手机卫士和电脑杀毒与浏览器吧！http://t.cn/zYW6KHJ', 'entities': '人物：无\n地名：无\n机构：360\n位置：无'}
{'text': '草你吗，跟里面的坑一样万恶，可恶的小笼包。哪里的死畜牲大便君人越来越冷漠大家都有老的一天是有因果轮回的宋灵姣夹夹夹生是天生畜生怒天气热了怎么办。。。。能说什么呢。。。。小小丸子童鞋转发微博', 'entities': '人物：宋灵姣、小丸子童鞋\n地名：无\n机构：无\n位置：无'}
{'text': '回复@大头周大头周:我送去卫生院的那个大伯有没有度过危险期才是最重要的//@大头周大头周:我看微博猪死了苗淹了。你肯定一晚没睡吧//@大头周大头周:情况怎么样了//@龙海新闻:赞亮哥~~[good]//@石码老板电器专卖店:遇上这样的天灾感觉人的生命是那么的渺小还好今晚救了6部车', 'entities': '人物：大头周、赞亮哥\n地名：龙海\n机构：卫生院、石码老板电器专卖店\n位置：未确定'}
{'text': '生日粗卡啊蛋糕蛋糕蛋糕坐等更推更博偷笑一颗只为等尼萌萌的心生日快乐大家晚安，晚安，小妹晚安小妹生日快乐', 'entities': '人物：尼萌萌、小妹\n地名：无\n机构：无\n位置：无'}
{'text': '//@汪东城:看見了！這樣時尚又帥氣，你們説東哥hold著如何呢！！！', 'entities': '人物：汪东城\n地名：无\n机构：无\n位置：无'}
{'text': '我总是在想，我的记忆是不是活在长街的那头，而我的年轮死在长街的这头', 'entities': '人物：我\n地名：长街\n位置：长街的那头和长街的这头'}
{'text': '支持！[围观][围观][围观]//@惠阳淡水一些事:音乐无限酒吧的暂別淡水告别之夜，这次愚乐活动后音乐无限就要开始重新装修了，支持。', 'entities': '人物：无\n地名：淡水\n机构：音乐无限酒吧\n位置：未指定'}
{'text': '对@子琳Windy说：您好，我是山东塑料托盘的生产厂家，请问塑料托盘咱们公司能用到吗？', 'entities': '人物：@子琳Windy\n地名：山东\n机构：塑料托盘的生产厂家\n位置：咱们公司'}
{'text': '迅雷看看观影团年末送雷鸟手机！这样的活动给我惊喜的感觉~~~~!~!地址：http://t.cn/8k94x8z', 'entities': '人物：无\n地名：无\n机构：迅雷看看观影团、雷鸟手机\n位置：活动地址为http://t.cn/8k94x8z，具体位置不明确。'}
{'text': '郑多燕减肥舞腹部减肥健身操-视频-在线观看-播客-品善网http://t.cn/zHgkNbH', 'entities': '人物：郑多燕\n地名：无\n机构：品善网\n位置：无'}
{'text': '接受中醫藥緣雜誌訪問，帶埋個仔出鏡。我在:http://t.cn/zHDZ6Rz', 'entities': '人物：未知\n地名：未知\n机构：中醫藥緣雜誌\n位置：未知'}
{'text': '同志们，去香港读研好不好？', 'entities': '人物：同志们\n地名：香港\n机构：无\n位置：未指定'}
{'text': '#影讯排排坐#奉俊昊执导的《雪国列车》今日曝光了首款中文海报和新版中文预告片，展现出强烈的科幻未来感及令人血脉喷张的视觉效果。据悉，影片有望年后引进中国内地。', 'entities': '人物：奉俊昊\n地名：雪国\n机构：中国内地\n位置：未知'}
{'text': '[花心]宜家的姐妹照越正！谂起〜[失望]//@肥嘟嘟的小白:@yyyyya__@好多公升眼泪仲有矮妹个衰女包，稳悟到你', 'entities': '人物：肥嘟嘟的小白、yyyyya__\n地名：宜家\n机构：无\n位置：未提及'}
{'text': '我參加了年度藝人大賞票選之，田喜碧，誰是你心目中年度最佳藝人呢？快投下你神聖的一票參加票選有機會獲包及入場劵與偶像同歡喔新浪女人新浪台灣娛樂投票網址：', 'entities': '人物：田喜碧\n地名：新浪女人、新浪台灣娛樂投票網址\n机构：年度藝人大賞票選\n位置：未提及'}
{'text': '北京太阳宫足球场董育真是的菲菲堂真的可怜', 'entities': '人物：董育真\n地名：北京太阳宫足球场\n机构：菲菲堂\n位置：未指定'}
{'text': '有个熊孩子拿牙签搓破了眼睛，希望平安无事[蜡烛]', 'entities': '人物：熊孩子\n地名：无\n机构：无\n位置：无'}
{'text': '支持你噢//@我和雪琪结婚证:转发微博', 'entities': '人物：我和雪琪\n地名：无\n机构：无\n位置：无'}
{'text': '国安老球迷辣笔小辛令人尊敬的老先生，同时，同意右侧观点。北晚小赢家这是真球迷，不是那些喜欢搞狭隘的地方主义，所谓的死忠们。', 'entities': '人物：辣笔小辛、老先生、北晚小赢家\n地名：无\n机构：国安\n位置：无'}
{'text': '今晚听到泽哥的声音，感觉回到以前。感慨啊', 'entities': '人物：泽哥\n地名：无\n机构：无\n位置：无'}
{'text': '//@Jao-://@丶梯子:多一个人多一份力量，希望大家能帮忙转发、留意，好人一生平安，邓先生13822658683，跪谢。@创业家杂志@阿狸说到心坎的话@孙雅涵的漫画@简易管理学@创业家杂志@潮音乐@cy-ii@DIY实用手册@教你易经风水术官网@美文故事@几米漫画故事', 'entities': '人物：Jao、丶梯子、邓先生、阿狸、孙雅涵、几米\n地名：无\n机构：创业家杂志、简易管理学、潮音乐、DIY实用手册、教你易经风水术官网、美文故事\n位置：无'}
{'text': '【火炉吐鲁番】吐鲁番的别称是火洲（古属交河），因气候炎热而得名。唐代边塞诗人岑参诗：“暮投交河城，火山赤崔巍。九月尚淌汗，炎风吹沙埃...”。吐鲁番的夏天是出名的热，8月基本上每天的气温都在42摄氏度以上，火焰山的地面温度可以达到80至90摄氏度，有“沙窝煮鸡蛋”之说。', 'entities': '人物：岑参\n地名：吐鲁番、交河、火山、火焰山\n机构：无\n位置：吐鲁番位于中国新疆维吾尔自治区东部，是新疆最热的地方之一。'}
{'text': '卫生部发布老年人跌倒救助指南称要视情况处理http://t.cn/a1Kiu8（分享自@头条新闻）', 'entities': '人物：无\n地名：无\n机构：卫生部\n位置：无'}
{'text': '我参与了@cgclub发起的投票【CGClub3D创新手绘大赛微博投票时间到啦！2】，我投给了"人鱼陈晓敏"这个选项。你也快来表态吧：http://t.cn/8kPuQ6p', 'entities': '人物：我、人鱼陈晓敏\n机构：@cgclub\n地名：无\n位置：微博投票页面（http://t.cn/8kPuQ6p）'}
{'text': '很好至少可以保证偶们可怜的球迷满腔热忱却被泼了一身冷水的情况再次发生。', 'entities': '人物：无\n地名：无\n机构：无\n位置：无'}
{'text': '台灣好＂食＂味！紅燒豚筋麵+超大杯多多綠這就是我愛台灣的原因之一', 'entities': '人物：无\n地名：台湾\n机构：无\n位置：无'}
{'text': '我刚更新了新浪微博正式版客户端，新增五套彩色主题，给你不一样的体验；查看周边微博，随时发现身边的新鲜事；修复版在部分机型上的黑屏问题。快来体验吧下载地址：手机下载地址：', 'entities': '人物：无\n地名：无\n机构：新浪微博\n位置：周边、部分机型上'}
{'text': '@在我想好下个名字前以此过渡@刘依依2013@Q8QL@勤奋的逆水行舟@菜刀锈V@痞子-浪子有人来砸场子，兄弟们看得过去吗？', 'entities': '人物：刘依依、勤奋的逆水行舟、菜刀锈V、痞子-浪子\n地名：无\n机构：Q8QL\n位置：无'}
{'text': '#钟汉良#[爱你]//@明茶秋水:#20040911快乐大本营#这期竟然有完整版了！！！#钟汉良#', 'entities': '人物：钟汉良\n地名：无\n机构：快乐大本营\n位置：无'}
{'text': '[good][good][good]意大利斑马与驴发生“爱情”产下“斑驴”……', 'entities': '人物：无\n地名：意大利\n机构：无\n位置：无'}
{'text': '刚看了《天天有喜》，演得不错，赞下主演！@陈浩民benny@穆婷婷Monica@譚耀文几位主演表跑，奖状收起，番茄走你~#三色番茄天天有喜#观看地址→_→http://t.cn/zHseuue（来自@360影视，中国最全的影视网站）', 'entities': '人物：陈浩民，穆婷婷，譚耀文\n地名：无\n机构：360影视\n位置：无'}
{'text': '《美日等国高价进口中国非转基因大豆：既吃又做药》http://t.cn/8kKIZUa', 'entities': '人物：无\n地名：中国、美国、日本\n机构：无\n位置：无'}
{'text': '《美女列车长2》画面上相比前作并有很大的改进，在场景方面也要比前作增加许多，从迈阿密海滩到大峡谷，从纽约市道纳什维尔，从阿拉斯加到幽灵鬼怪之地，丰富多样的场景能让人体验到更多的美国本土风情。下载地址：http://t.cn/zT5Sopd', 'entities': '人物：无\n地名：迈阿密海滩、大峡谷、纽约市、道纳什维尔、阿拉斯加、幽灵鬼怪之地\n机构：无\n位置：美国本土'}
{'text': '陈雨奇葩的世界什么时候都饿的人两位高富帅玩完又来簋街吃饭。。。。。四个人吃完的残局。。。困死了。回家睡觉。。', 'entities': '人物：陈雨奇、两位高富帅\n地名：簋街\n位置：未知（无法确定句子中提到的位置）'}
{'text': '我討厭現在的生活，覺得日子過得好苦，我每一天都哭過，痛過才去睡覺。不知道這樣做是否值得，但是就是不忍心這樣就離開，我不想用自己的快樂去換取別人的痛苦，女人大概是心軟的，這絕對是真的', 'entities': '人物：我\n地名：无\n机构：无\n位置：无'}
