{'text': '漫步在这山间的小道上', 'predict': '关系名：Located'}
{'text': '冬季百姓照样能吃到新鲜的蔬菜，冰箱里储存着各种水果鱼肉付食等', 'predict': "'冰箱'属于'Owership'关系，'水果'属于'Part-Whole'关系。"}
{'text': '根据蚬子生长的特性，我们用一尺的钩条或钢筋，在它的下端弯成一个小钩', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '看你还能撑到冬至?拴在桩头的倦态老牛卧在自己复叠的脚印上反刍，瘦巴巴的黄狗在灰粪堆边嗅来嗅去', 'predict': '这个句子中没有明显的属于关系中的任何一种的关系。'}
{'text': '便引来北方同学的无数镜头和赞誉：好美的花，好绿的叶!我与其他云南同学对视骇笑', 'predict': "'叶'和'我'属于General-Special关系。"}
{'text': '我上中学时，母亲还为我做了“草鞋”', 'predict': 'Family (家庭关系)'}
{'text': '请了一个农村师傅为我做了两件衣服,一条裤子。一件衣服是青年服', 'predict': "'我'和'一件衣服'属于'Part-Whole'关系，因为'我'是'一件衣服'的主人。"}
{'text': '但我确实觉得父亲对我们的养育方式是“无为而治”', 'predict': '父亲和我们属于Family关系。'}
{'text': '它身后的盆里，高高堆着羊粪球一样的机制兔子食,兔笼壁上挂着的瓶里也装满了水。', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '瓶窑村拥有多座山，最突出的就是村前村后的两座山', 'predict': '关系：Part-Whole'}
{'text': '根据蚬子生长的特性，我们用一尺的钩条或钢筋，在它的下端弯成一个小钩，并将小钩磨得尖尖的。', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '桂竹则栽在山腰或是洼地里，因为是横生的，向两边发展，你不管它也能长出一大片。', 'predict': "句子中的'你'和'它'属于Part-Whole关系，因为'你'指代的是整个人，而'它'指代的是整个桂竹。"}
{'text': '<N>多种热带雨林气候特有的珍惜濒绝物种便足以证明云南“植物王国”的称号并非浪得虚名。一走进莫里原始森林景区', 'predict': "'云南'和'莫里原始森林景区'属于'Located'（位置关系）的关系。"}
{'text': '外孙身体结实，吊单杠双手一抓，双脚就从胸前跃过杆去', 'predict': "句子中的'外孙'属于'Family'关系，'双脚'属于'Part-Whole'关系。"}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': "'佳茗之乡'和'酒城'属于关系名为美酒之乡的关系。"}
{'text': '母亲为之欢欣，脸上洋溢着笑容。', 'predict': "句子中的'脸'和'笑容'属于'Part-Whole'关系，因为它们是母亲欢欣的整体和部分。"}
{'text': '在它的下端弯成一个小钩，并将小钩磨得尖尖的。然后将上端绑在一根长长的竹杆上(河水越深用的竹杆就越长)。', 'predict': "句子中的'它'属于Part-Whole关系，指代上文中提到的某个物体的一部分。'一个'则属于General-Special关系，指代一个普通的、不特定的物体。"}
{'text': '几次因走错路而失约，他又不善与人沟通应变，女友开始以为他心不诚', 'predict': "'他'和'女友'属于'Social'（社交）关系。"}
{'text': '客厅里放着图像清晰的液晶电视，书房里有电脑、有音响，房间里全是新家具', 'predict': "'书房里'和'音响'属于'Part-Whole'关系。"}
{'text': '我家住在单位院子里的宿舍里，是买的福利房。', 'predict': '我家和单位院子里的宿舍里属于"Located"（位置）关系。'}
{'text': '我也和上。心想：你牛儿<N>挂零了吧!当初我们同在一个生产队里挣工分', 'predict': "根据句子中的语境，'我'和'你'属于'General-Special'关系，表示两个人在同一生产队里工作，有一定的共同经历和背景。"}
{'text': '我的月工资是<N>个工资份(每个工资份约买<N>斤米)，我爱人的月工资是<N>个工资份。', 'predict': "'爱人'属于'Family'关系，'<N>个工资份'属于'Part-Whole'关系。"}
{'text': '哥哥被招工进了厂，母亲那颗悬挂的心才放了下来。', 'predict': '\'母亲\'和\'心\'属于"Family"（家庭）关系。'}
{'text': '对于下岗和无收入的城镇居民，发给低保费，让他们安居乐业，这些人都是幸福的。', 'predict': '下岗和无收入的城镇居民和这些人属于"Part-Whole"（部分-整体）关系，因为这些人是指前面提到的下岗和无收入的城镇居民。'}
{'text': '我年轻时在医院工作多年。整天和病人接触', 'predict': '关系：Social'}
{'text': '人们眼前总会浮现洞庭湖万顷波涛的水天，云絮般洁白的片片渔帆，和那洞庭湖的许多神奇迷人的传说。', 'predict': "'洞庭湖'属于Located关系，'云絮般洁白的片片渔帆'属于General-Special关系。"}
{'text': '以至于树的周围几乎寸草不生。其它几棵邻近的桑榆，也长得病歪歪状：树身生有疤痕', 'predict': '树和树身属于Part-Whole（部分-整体）关系。'}
{'text': '冬季屋内很冷，早上起炕孩子都不愿意起', 'predict': 'Part-Whole（部分-整体）'}
{'text': '这时从路边小屋里走出来一个好心的大叔，他先把我领到家里给我吃了一个滚热的山芋', 'predict': '关系：General-Special'}
{'text': '四处都是青草的味道，远处偶有狗叫', 'predict': '关系名：Near'}
{'text': '平时，它直上直下生长在水底泥土的小洞中，两片贝壳张开着', 'predict': 'Part-Whole（部分-整体）'}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': "'沱江'属于关系名'鱼米之乡'，'茅台'属于关系名'美酒之乡'。"}
{'text': '人们去县里开会办事全靠步行或骑自行车;现在交通发达了，我场就有五趟往返班车，各家的四轮车和大汽车不算', 'predict': "'我场'和'班车'属于'Located'（位置关系）的关系。"}
{'text': '抓住枪管不放，和那支枪开始较劲。', 'predict': 'Part-Whole（部分-整体）'}
{'text': '此山东与淡竹乡林坑村为邻，西与苍山村相连，南与柯思西平村接壤', 'predict': "此山东与淡竹乡林坑村为邻，西与苍山村相连，南与柯思西平村接壤这句话中，'山'和'柯思西平村'属于'Near'关系。"}
{'text': '听说他迷上了那个从文化局退休的漂亮的会计，两人成了铁杆舞伴。', 'predict': '关系：Social'}
{'text': '有客人来，缘何不知招待，请勿介意，先去烧点水。”女人之先声夺人，男人怵不及防。', 'predict': "在这个句子中，'客人'和'男人'属于社交关系。"}
{'text': '我曾经在铜梁和你有过相遇。叫你你不应，头发胡子盖住了半边脸', 'predict': "'铜梁'和'你'属于'Located'关系，即在某个地点相遇。"}
{'text': '走进一片竹林，他的背影和着夕阳一起隐没', 'predict': 'Part-Whole (部分-整体)'}
{'text': '欲将墙面裹上一层蜡封。', 'predict': "'墙面'和'蜡'属于'Part-Whole'关系，因为'墙面'是整体，'蜡'是部分。"}
{'text': '河边的水草里、稻田里时常见到水鸟的窝，水鸟的蛋，有时还有刚出壳的雏鸟。', 'predict': '关系：Located'}
{'text': '很快就把草鞋上的塑料布弄得破碎、一塌糊涂，雨水还是渗过草鞋底湿透了袜子。', 'predict': 'Part-Whole (部分-整体)关系。'}
{'text': '上热菜了，两个身穿红衣服的帮厨姑娘端着大碗不停地给各桌上菜。', 'predict': "关系：Part-Whole\n\n'热菜'是整体，'两个身穿红衣服的帮厨姑娘'是其中的一部分，属于Part-Whole关系。"}
{'text': '他在岛上竖起了第一块警示牌。', 'predict': '岛上和第一块警示牌属于"Located"关系。'}
{'text': '西洞庭从百里荒原到百亿工业园区，短短<N>年的巨变', 'predict': '关系名：Located。因为句子中提到了“西洞庭”，它是一个地名，属于“Located”（位置）关系。而“<N>年”表示时间的流逝，属于“General-Special”（一般特殊）关系。'}
{'text': '却被一群靓女占据了，她们的店子开初打的都是“美容美发店”', 'predict': "'她们'和'她们的店子'属于'Ownership'（所有关系）。"}
{'text': '穿的衣服和用的都很简单，有的孩子阴雨天都光着脚上学', 'predict': "'有的孩子'和'脚'属于'Part-Whole'关系，因为'有的孩子'是整体，'脚'是部分。"}
{'text': '甚至有泥墙垒砌的猪圈，至今还养着猪。', 'predict': "'猪圈'和'猪'属于'Part-Whole'关系，因为'猪圈'是'猪'的一部分。"}
{'text': '不是么?建国初，花鼓灯玩进了怀仁堂，乐得中央首长开颜笑', 'predict': 'Part-Whole（部分-整体）'}
{'text': '我们乘坐汽车从曲沃县城出发', 'predict': 'Part-Whole (部分-整体)。因为“我们”是汽车的一部分，即乘坐汽车的人员。'}
{'text': '水井周围总有许多妇女在这里洗衣服，嘻嘻哈哈', 'predict': '关系：Near'}
{'text': '记得高三那年的春节前夕，母亲兴高采烈地回到家，从包里掏出几张百货公司的特价优惠卷在我面前晃来晃去', 'predict': "'母亲'和'包'属于'Part-Whole'（部分-整体）关系。"}
{'text': '母亲常常会搬上一张藤椅，带着我到天台上去乘凉', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '感动了失去荷西的台湾女作家三毛，她曾特意二度来乌鲁木齐看望王洛宾', 'predict': '\'台湾女作家三毛\'和\'乌鲁木齐\'属于"Located"（位于）关系。'}
{'text': '村民们在栽种竹子的时候就把水竹栽在山脚或是房前屋后土脚厚的地方', 'predict': "'水竹'属于Part-Whole关系，'房前屋后'属于Located关系。"}
{'text': '也许因了水的滋润，岸边那一丛丛芦苇总是显得特别的茂密鲜活。', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': "'青衣江'属于关系名'鱼米之乡'，'茅台'属于关系名'美酒之乡'。"}
{'text': '听说他迷上了那个从文化局退休的漂亮的会计，两人成了铁杆舞伴。', 'predict': "'那个从文化局退休的漂亮的会计'属于General-Special关系，'两人'属于Social关系。"}
{'text': '足够一年吃的;还有一满甏腌得淌黄油的咸鸭蛋。', 'predict': "句子中的'甏'和'咸鸭蛋'属于'Part-Whole'关系，因为它们是整个句子中的一部分。"}
{'text': '一颗埋在冻土层下的葡萄苗树，在农民兄弟一家老小的掺扶培植下', 'predict': 'Part-Whole (部分-整体)关系。'}
{'text': '我眼前的路面上，突然亮出一块异样的白石板，虽说也是条形的', 'predict': "'眼前的路面上'属于'Located'关系，'一块异样的白石板'属于'Part-Whole'关系。"}
{'text': '现在，老曹家住城南村的农民集中居住片。', 'predict': '老曹属于Family关系，城南村的农民集中居住片属于Located关系。'}
{'text': '我问鲁光，你是怎么从一个大记者、大作家又变成大画家的呢?鲁光说', 'predict': '关系：Social'}
{'text': '当时电力学校的正式名额叫冯大为，他是我同班同学。人很好，父亲是党的高级领导干部', 'predict': '关系：Part-Whole'}
{'text': '听了刘老师这番话，我感到太突然了', 'predict': '关系：Social'}
{'text': '村前有条小溪，常年流淌。', 'predict': '关系：Located'}
{'text': '涟漪荡漾，池中有金鸭沉浮的景观。', 'predict': "句子中的'池中'和'金鸭'属于'Part-Whole'（部分-整体）关系，因为'池中'是整体，'金鸭'是部分。"}
{'text': '只见瀑布前的天鹅池中，有一潜入水中的蛙形巨石，登益先生说', 'predict': 'Part-Whole'}
{'text': '手拿着这封信，我想到许多', 'predict': 'Part-Whole'}
{'text': '但见女人风姿不避，婀娜洋溢，纤细柔嫩之手指指点点', 'predict': '关系：General-Special'}
{'text': '我想了《西游记》里老乌龟驼着唐僧师徒过河的情景;也想起“动物世界”', 'predict': '《西游记》里老乌龟和唐僧师徒属于“Part-Whole”（部分-整体）关系，因为他们是故事中的一部分。'}
{'text': '《华阳国志》的记载：自秦汉置犍为郡，郡治就在今彭山县内(武阳国在彭山', 'predict': "'郡治'和'彭山县'属于Located关系。"}
{'text': '树腰生出一股粗大的根，垂直向下窜入泥土之中，自然形成', 'predict': 'Part-Whole（部分-整体）'}
{'text': '发现园塘村是真正的竹村，山湾湾里、溪水两旁和房前房后都是一丛丛青青的黄竹，它们与青山绿水组成绿色的海洋', 'predict': "'山湾湾里'属于'Located'关系，'黄竹'属于'Part-Whole'关系。"}
{'text': '生产队长娇守云对我说：这几天东南沟蜂场有黑瞎子搬蜂箱', 'predict': '生产队长娇守云和我属于社会关系。'}
{'text': '品尝到了两次她家的咸肉、咸蛋，更坚定了他天天来矮墙静坐的信心。', 'predict': "'她'属于'General-Special'关系，'矮墙'属于'Located'关系。"}
{'text': '行人看起来更少了，地铁车站旁有不少倒地的自行车，有一些纸屑在地上打旋', 'predict': "'地铁车站旁'属于'Located'关系，'不少倒地的自行车'属于'Part-Whole'关系。"}
{'text': '我外婆病在床榻，临终时睁着一双昏浊板滞的眼睛，盼望着能见到母亲一面。', 'predict': '家庭关系（Family）'}
{'text': '很多人都喜欢自己安装矿石收音机，父亲也不例外。他运用物理学知识，不但把矿石收音机装得比别人精致', 'predict': '父亲和别人属于"General-Special"（一般特殊）关系。'}
{'text': '黑瞎子中弹后那声嘶力竭的惨叫声一声比一声高', 'predict': "句子中的'黑瞎子'和'弹'属于Part-Whole关系，因为'黑瞎子'是句子中的一个部分，而'中弹'是描述'黑瞎子'的一个属性或状态。"}
{'text': '老先生在殡仪馆为老太太梳头时', 'predict': '关系：Located'}
{'text': '当包谷杆上长出第一个包谷棒时', 'predict': '句子中的\'包谷杆\'和\'包谷棒\'属于"Part-Whole"关系，因为包谷棒是包谷杆的一部分。'}
{'text': '锣鼓声里，淮河上下，一道道大堤平地而起，一座座水库巍然屹立。', 'predict': "这个句子中的'淮河上下'属于'Located'关系，而'一座座水库'属于'Part-Whole'关系。"}
{'text': '随时随地编入前、中、后三个爬山梯队，各梯队配备“<N>、<N>、<N>号”对讲机相互联系。', 'predict': "'爬山梯队'和'对讲机'属于'Part-Whole'（部分-整体）关系。"}
{'text': '品尝到了两次她家的咸肉、咸蛋', 'predict': 'Part-Whole（部分-整体）关系。因为“她家”的“她”是指整体，而“咸肉”是指部分。'}
{'text': '有一户姓苟的船民常年在淮河行船做生意。家里有妻子和一个呆傻的儿子。', 'predict': '关系：Family。'}
{'text': '抬水时走在弯弯的湿淋淋的小路上，绳索在扁担上滑动', 'predict': 'Part-Whole (部分-整体)'}
{'text': '在五千米高的公路边，存在如此湿漉漉的排水沟，不管怎样说', 'predict': "'公路边'和'如此湿漉漉的排水沟'属于'Located'（位置关系）。"}
{'text': '一条黄狗跟随其后，尾巴摇摇摆摆的。', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '船上坐着两位手拿蚬钩的老者。', 'predict': '关系名：Located'}
{'text': '临湖的一株桂树下，随便地摆放着一张极为简约的小茶几，两把简约的小躺椅。', 'predict': "'湖'属于Located关系，'小躺椅'属于Part-Whole关系。"}
{'text': '山上开满了杜鹃花，我们总隔三差五地去山上采摘，拿到家里插在盛有水的瓶子里', 'predict': "'杜鹃花'和'瓶子'属于'Part-Whole'关系，因为'杜鹃花'是'山上'的一部分，'瓶子'是'家里'的一部分。"}
{'text': '拍摄工作完成之后，朋友将相机举至我们面前', 'predict': '朋友和相机属于"Part-Whole"（部分-整体）关系。'}
{'text': '我们在溪边玩时，就要等着这时光去捉几把，用小手帕包着拿回家', 'predict': "'我们'属于'Social'关系，'小手帕'属于'Part-Whole'关系。"}
{'text': '老伴喜欢玩转体训练器，站在上面', 'predict': '关系：Family（家庭关系）。\n\n在这个句子中，“老伴”和“转体训练器”之间没有明显的关系，因此它们不能被归类为“Part-Whole”或“General-Specific”关系。同时，句子中提到“老伴”这个词，暗示了这是一个家庭场景，因此可以将它们归类为“Family”关系。'}
{'text': '设想一下一个人夜里打黑瞎子发生了人身伤害，我们更无法向上级和他的家人交代', 'predict': '关系：Located, Part-Whole'}
{'text': '特别是春暖花开时节，它长出片片新鲜的红叶，娇艳欲滴', 'predict': 'Part-Whole (部分-整体)关系。因为句子中的“它”指代的是整个物体，而“新鲜的红叶”则是这个物体的一部分。'}
{'text': '“我们兄妹几岁，父亲就去世了', 'predict': 'Family'}
{'text': '一排排的竹篙，规则的站在水中，固定着一张张大网', 'predict': '属于"Located"关系。'}
{'text': '世界就一片凄惨，日本关东军的军靴', 'predict': '属于"Part-Whole"关系，因为"日本关东军"是"军靴"的一部分。'}
{'text': '效率极低;而现代的木工，是用电锯、电子、电钻等现代木工工具', 'predict': "句子中的'现代的木工'和'电子'属于“Use”关系。"}
{'text': '光耀青史之巾帼英雄立于世界民族之林，须眉豪杰不宜妄目的战国无盐、西汉吕雉、周唐武、、、、、、政治舞台风云叱咤。', 'predict': '光耀青史之巾帼英雄和西汉吕雉都属于"General-Special"（泛指特指）关系。'}
{'text': '猪够肥够大，腰身圆滚滚', 'predict': 'Part-Whole (部分-整体)'}
{'text': '桂竹的颜色没有水竹深，但它们竹节粗大', 'predict': 'Part-Whole（部分-整体）关系。因为句子中提到了“桂竹的颜色”和“水竹”，这两个词语是竹的不同品种或类型，它们都是竹这个整体的一部分。'}
{'text': '设想一下一个人夜里打黑瞎子发生了人身伤害，我们更无法向上级和他的家人交代', 'predict': "'我们'和'上级'属于'General-Special'（上下级关系）的关系。"}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': "'茅台'属于'美酒之乡'关系，'丝绸之乡'属于'General-Special'关系。"}
{'text': '在这个钢厂的院子里', 'predict': "'钢厂'和'院子'属于'Located'关系，表示它们在同一个位置或空间中。"}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': "'鱼米之乡'属于Located关系，而'彭祖山'属于Near关系。"}
{'text': '村庄的山山水水、一草一木都被那月光渗透、都拥抱在月光下', 'predict': '属于"Located"关系，即"村庄"和"山山水水、一草一木"都被"月光"所渗透和拥抱。'}
{'text': '她有一双灵巧的手，小时候', 'predict': 'Part-Whole。'}
{'text': '仰首遥远的天边，总有雪峰隐现。', 'predict': '关系：Located'}
{'text': '西风东渐，毛氏三姐妹豆蔻年华，领风气之先，放天足剪西发，戴眼镜穿皮鞋', 'predict': "在这个句子中，'毛氏三姐妹'属于'Family'关系，而'眼镜'属于'Part-Whole'关系。"}
{'text': '我的月工资是<N>个工资份(每个工资份约买<N>斤米)，我爱人的月工资是<N>个工资份。', 'predict': '关系：Family'}
{'text': '当时真没注意身边还有我未来绥化铁路司机学校的两位老师。', 'predict': '属于"Located"关系，即"绥化铁路司机学校"和"两位老师"与句子中的"身边"有位置上的关系。'}
{'text': '瓶窑村现有三百多户人家，离城关约十公里的始丰溪畔。', 'predict': "'瓶窑村'和'十公里'属于'Located'关系。"}
{'text': '高玉宝就在我们学员中。', 'predict': "根据句子可以判断，'高玉宝'和'学员'属于'Located'（位置）关系。"}
{'text': '同时胎儿也是幸福的;刚翻身时的孕妇生育，掀开炕席铺上草，孩子哇一生落草而生', 'predict': "'胎儿'和'孩子'属于'Part-Whole'（部分-整体）关系。"}
{'text': '到城里的饭店去不大方便。', 'predict': '\'城里的饭店\'和\'城里\'属于"Located"（位置关系）的关系。'}
{'text': '这样小船就被固定在河水中，于是我们就坐在小船上', 'predict': '小船和我们属于"Part-Whole"（部分-整体）的关系。'}
{'text': '悲伤地将一盅酒洒向夜空，又是祭又是怀念。', 'predict': "句子中的'一盅酒'和'夜空'属于General-Special关系。"}
{'text': '<N>作业区<N>队<N>组组长罗恒，是一位在抗美援朝战场入党的转业军人，吃饭总是让组员们吃在前头', 'predict': "属于'Part-Whole'关系，因为'<N>作业区<N>队<N>组组长罗恒'是'<N>作业区<N>队<N>组'的一部分。而'饭'则没有明确的关系，不属于句子中的任何一种关系。"}
{'text': '用黄泥和糠壳搅拌成泥浆，糊了一个柴灶。', 'predict': "'泥浆'和'柴灶'属于'Part-Whole'（部分-整体）关系。"}
{'text': '在关内的东北流亡学生悲咽着唱，我的家在东北松花江上，那里有森林煤矿', 'predict': "'我'属于'Ownership'关系，'东北松花江上'属于'Located'关系。"}
{'text': '在邻家栅栏旁蔷薇花初放时浅吟过', 'predict': "'邻家栅栏旁'和'蔷薇花'属于'Located'关系，表示位置关系。"}
{'text': '我总觉得楚布河水似乎就在车身下流淌。', 'predict': "'楚布河水'和'车身下'属于'Located'关系。"}
{'text': '恍若荷塘莲叶拂爽风。', 'predict': '句子“恍若荷塘莲叶拂爽风”中并没有明确的主语和宾语，因此无法确定它们之间的关系。'}
{'text': '盆地中央有一条名唤“漆水”的小河穿境而过，河水清清浅浅、风光旖旎。在这条河流的两岸', 'predict': '\'名唤“漆水”的小河\'属于"General-Special"关系，而\'这条河流\'属于"Located"关系。'}
{'text': '石子泥土夯就的城墙，已经被风切割再切割', 'predict': 'Part-Whole'}
{'text': '只见那孩子心脏跳动的胸脯处', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '现在有许多瓶窑人成了富翁做了大老板，经商人员遍布全国各地。', 'predict': "'瓶窑人'和'大老板'属于'General-Special'（一般特殊）关系。"}
{'text': '摆了<N>张圆桌，每张桌上已放了<N>个冷菜盘，盘里整齐地放着鸡鸭鱼肉。', 'predict': '关系名：Part-Whole（部分-整体）'}
{'text': '几十天后，家具来了，电视机，冰箱，空调也都跟随着来了，当母亲牵着我的手走进亮堂堂的客厅的一刻', 'predict': "'家具'和'我'属于Part-Whole（部分-整体）关系。"}
{'text': '连学校军宣队的战士都利用星期日到我家偷着向他请教。', 'predict': "'学校军宣队的战士'属于'社交关系'，'他'属于'一般-特殊关系'。"}
{'text': '看水天一色，岸边的船', 'predict': "'岸边'和'船'属于'General-Special'（通用-特定）关系。"}
{'text': '带着我乘车去百货商场了。', 'predict': "'我'和'车'属于'Use'关系，即使用关系。"}
{'text': '我问鲁光，你是怎么从一个大记者、大作家又变成大画家的呢?鲁光说', 'predict': "'你'和'大作家'属于'General-Special'关系。"}
{'text': '她是新新的、亮亮的、美美的、圆圆的，满脸都是初婚的幸福。', 'predict': "在这个句子中，'她'属于'General-Spicial'关系，表示她是一个特定的人，而'脸'属于'Part-Whole'关系，表示脸是她身体的一部分。"}
{'text': '黑瓦上长着几丛野草，带着秋天的一抹金黄', 'predict': 'Part-Whole（部分-整体）'}
{'text': '我说锯镰刀是农民伯伯割谷子用的', 'predict': "'锯镰刀'和'农民伯伯'属于'Part-Whole'关系，因为'锯镰刀'是'农民伯伯'进行割谷子活动时所需要的工具。"}
{'text': '这里的草高大、壮硕，茎叶威武', 'predict': '这里的草高大、壮硕，茎叶威武属于Part-Whole关系。'}
{'text': '她为我和姐姐的前途悲哀，后来，我和姐姐下了农村，姐弟俩开始了漫长的知青生活', 'predict': "'姐姐'和'姐弟俩'属于'Family'（家庭）关系。"}
{'text': '行走在那广袤而高远的大地上，西藏之水给了我太多的回忆：那皑皑雪峰、滔滔江流和蓝蓝错水', 'predict': "'西藏之水'和'西藏'属于Located关系。因为句子中描述了'西藏之水'的位置和所在地，即在西藏这个地方。"}
{'text': '红卫兵组织头目带了几名暴徒，手持匕首，到母亲工作的学校抓我母亲。', 'predict': '关系名：Part-Whole。因为手和匕首是暴徒的一部分。'}
{'text': '“儿行千里母担忧”，路途遥远，当父母的真是很担心。', 'predict': "'儿'和'父母'属于'Family'关系。"}
{'text': '我终于费了九牛二虎之力捕捉到一只蜻蜓。年幼的我出于好奇，便紧紧捏着它透明的翅膀，把它放到了一只正在苦苦寻觅食物的蚂蚁面前', 'predict': "'一只蜻蜓'和'年幼的我'属于'Part-Whole'关系。"}
{'text': '黑瞎子流了不少血它一定会多喝几口人参汤', 'predict': '属于"Part-Whole"关系，因为"黑瞎子"是句子中的一个部分，"血"是黑瞎子身体的一部分。'}
{'text': '心想：你牛儿<N>挂零了吧!当初我们同在一个生产队里挣工分', 'predict': '关系：Social'}
{'text': '石子泥土夯就的城墙，已经被风切割再切割', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '而今你满城的风沙，另类般“黄金甲”', 'predict': 'Unknown'}
{'text': '那一年清明节后，生产队长娇守云对我说：这几天东南沟蜂场有黑瞎子搬蜂箱', 'predict': '关系：Social'}
{'text': '乡间的鸡鸣犬吠、虫琴蛙鼓定是追着了我的屁股，在我深一脚浅一脚的足迹里躲藏着，一直跟随我来到了都市，不然，好多个梦里，怎么老听到它们唤我回家。', 'predict': "关系：Part-Whole\n\n'虫'属于'乡间的虫琴蛙鼓'这个整体的一部分，而'它们'指代的是整个乡间的环境，也属于Part-Whole关系。"}
{'text': '一不留神他自己走到了马路对面的店子，一面敲门一面叫：“理发啦', 'predict': '关系：Located'}
{'text': '这是黑瞎子要发动攻击的信号，我迅速端枪射击', 'predict': "'我'和'枪'属于'Use'关系。"}
{'text': '铁锨、镢头、扁担、水桶，他把自己植进了太岳大山', 'predict': '句子中没有明确的关系词语，因此无法确定铁锨和他的关系。'}
{'text': '我也见他把自己的大作用毛笔工工整整地抄录在宣纸上，寄赠他的老朋友。', 'predict': "'他'和'他的老朋友'属于'社交关系'。"}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': "'酒都'属于关系名为美酒之乡，'彭祖山'属于关系名为旅游之乡。"}
{'text': '不久，他去了省城太原，在桃园路的一个文化单位谋了一份差事', 'predict': "'他'和'桃园路的一个文化单位'属于'Located'关系，即位置关系。"}
{'text': '逢年过节，土家人皆要备上咂酒，或自饮，或热情款待客人。亲朋贵客来后', 'predict': '关系：Social'}
{'text': '大概从没有这条小径的时候我的脚印就曾经在这里留下过长长的蜿蜒的蛛丝马迹。', 'predict': "句子中的'我'属于'Use'关系，表示使用者。而'长长的蜿蜒的蛛丝马迹'属于'Part-Whole'关系，表示整体和部分的关系。"}
{'text': '一见面，我和母亲的眼泪就夺眶而出', 'predict': "'我'和'母亲'属于'Family'关系，'眼泪'和'我'属于'Social'关系。"}
{'text': '有的还叼起茅草抛向空中，然后跳起啄食。', 'predict': 'Part-Whole（部分-整体）'}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': "'茅台'和'犍为郡'属于关系名为'鱼米之乡'的关系。"}
{'text': '灰暗剥蚀的马头墙上，缀满霜染的爬山虎。', 'predict': "句子中的'灰暗剥蚀的马头墙上'属于Located关系，'霜染的爬山虎'属于General-Special关系。"}
{'text': '装点塞北的山山岭岭，装点松江南北的江城大地。', 'predict': '\'塞北的山山岭岭\'和\'塞北\'属于"Located"关系，因为它们描述了地理位置的关系。'}
{'text': '银白色油漆的铁栅栏，邻居家的磨豆浆机，还有父亲那时专门送我去学琴的那架自行车。', 'predict': "'邻居家'属于'Located'关系，'磨豆浆机'属于'Part-Whole'关系。"}
{'text': '他头发胡子显然得到了修整。穿一件毛领黄色皮大衣，戴一顶翻毛黄军帽，再蹬一双翻毛黄皮鞋，俨然一副军官相。他手指上还钩着一个“保温杯”', 'predict': '关系：Part-Whole\n\n他的头发和胡子是他身体的一部分，因此属于“Part-Whole”关系。'}
{'text': '我的家在东北松花江上，那里有森林煤矿，还有那满山遍野的大豆高粱…', 'predict': '我的家属于Located关系，那里属于General-Special关系。'}
{'text': '而我今天所发现的这块白石碑莫非就是其中之一块?经识英文者辨析，碑上所书其实就是一份阵亡名单。', 'predict': "'碑上'属于'Located'关系，'一份阵亡名单'属于'Part-Whole'关系。"}
{'text': '一年冬，他随军转战南方，路过家乡，看望妻子阿梅。', 'predict': "'一年冬'和'妻子'属于时间关系和家庭关系。"}
{'text': '台阶旁，转角处，间或一株老树，一片花丛', 'predict': '属于"Located"关系。'}
